fecha,hora,objeto,confianza,total_en_fotograma
2026-06-03,02:54:24,person,84.5%,1
2026-06-03,02:54:24,remote,40.1%,1
2026-06-03,02:54:26,person,90.7%,1
2026-06-03,02:54:26,cell phone,90.6%,2
2026-06-03,02:54:26,cell phone,26.7%,2
2026-06-03,02:54:29,person,83.8%,1
2026-06-03,02:54:29,cell phone,28.1%,2
2026-06-03,02:54:29,cell phone,25.1%,2
2026-06-03,02:54:32,cell phone,87.6%,2
2026-06-03,02:54:32,person,66.8%,2
2026-06-03,02:54:32,person,56.2%,2
2026-06-03,02:54:32,cell phone,31.5%,2
2026-06-03,02:54:35,cell phone,92.1%,1
2026-06-03,02:54:35,person,67.9%,2
2026-06-03,02:54:35,person,65.3%,2
2026-06-03,02:54:39,cell phone,77.7%,1
2026-06-03,02:54:39,person,75.9%,1
2026-06-03,02:54:42,cell phone,87.0%,1
2026-06-03,02:54:42,person,74.8%,2
2026-06-03,02:54:42,person,33.4%,2
2026-06-03,02:54:45,cell phone,63.2%,1
2026-06-03,02:54:45,person,52.9%,2
2026-06-03,02:54:45,person,49.7%,2
2026-06-03,02:54:49,person,82.7%,1
2026-06-03,02:54:52,person,74.8%,1
2026-06-03,02:54:56,person,52.6%,1
2026-06-03,02:55:00,person,88.3%,1
2026-06-03,02:55:00,couch,26.3%,1
2026-06-03,02:55:04,person,87.8%,1
2026-06-03,02:55:08,person,87.8%,1
2026-06-03,02:58:35,person,89.2%,1
2026-06-03,02:58:38,person,88.2%,1
2026-06-03,02:58:41,cell phone,91.8%,1
2026-06-03,02:58:41,person,91.7%,1
2026-06-03,02:58:44,person,82.3%,1
2026-06-03,02:58:48,cell phone,81.6%,1
2026-06-03,02:58:48,person,72.9%,1
2026-06-03,02:58:51,person,67.5%,1
2026-06-03,02:58:54,person,82.8%,1
2026-06-03,02:58:57,person,73.8%,1
2026-06-03,02:58:57,cell phone,65.0%,1
2026-06-03,02:59:00,cell phone,95.8%,1
2026-06-03,02:59:00,person,71.3%,1
2026-06-03,02:59:04,cell phone,95.2%,1
2026-06-03,02:59:04,person,79.1%,1
2026-06-03,02:59:04,tv,73.6%,1
2026-06-03,02:59:07,cell phone,94.6%,1
2026-06-03,02:59:07,person,63.5%,1
2026-06-03,02:59:11,person,64.0%,1
2026-06-03,02:59:14,person,89.2%,1
2026-06-03,02:59:19,person,87.0%,1
2026-06-03,02:59:22,person,84.4%,1
2026-06-03,02:59:25,person,86.6%,1
2026-06-03,02:59:28,person,91.6%,1
2026-06-03,02:59:28,cell phone,78.0%,1
2026-06-03,02:59:32,person,93.6%,1
2026-06-03,02:59:32,cell phone,74.6%,1
2026-06-03,02:59:32,tv,65.1%,3
2026-06-03,02:59:32,tv,64.7%,3
2026-06-03,02:59:32,tv,61.3%,3
2026-06-03,02:59:35,person,92.0%,1
2026-06-03,02:59:35,cell phone,81.0%,1
2026-06-03,02:59:38,person,90.3%,1
2026-06-03,02:59:38,cell phone,81.2%,1
2026-06-03,02:59:38,tv,61.3%,1
2026-06-03,02:59:41,person,93.0%,1
2026-06-03,02:59:41,cell phone,86.5%,1
2026-06-03,02:59:44,person,84.5%,1
2026-06-03,02:59:47,cell phone,82.3%,1
2026-06-03,02:59:47,person,80.0%,1
2026-06-03,02:59:51,person,84.5%,1
2026-06-03,02:59:54,person,90.7%,1
2026-06-03,02:59:57,person,86.2%,1
2026-06-03,03:00:00,tv,62.5%,1
2026-06-03,03:00:03,person,91.2%,1
2026-06-03,03:00:03,couch,60.1%,1
2026-06-03,03:00:07,person,83.1%,1
2026-06-03,03:00:10,person,89.7%,1
2026-06-03,03:00:10,tv,68.8%,1
2026-06-03,03:00:13,person,77.8%,1
2026-06-03,03:00:16,person,65.5%,1
2026-06-03,03:00:20,cell phone,77.8%,1
2026-06-03,03:00:20,person,70.8%,1
2026-06-03,03:00:20,couch,66.4%,1
2026-06-03,03:00:23,cell phone,93.8%,1
2026-06-03,03:00:23,person,74.9%,1
2026-06-03,03:00:26,cell phone,94.3%,1
2026-06-03,03:00:26,person,77.8%,1
2026-06-03,03:00:26,couch,67.5%,1
2026-06-03,03:00:29,cell phone,93.7%,1
2026-06-03,03:00:29,person,80.9%,1
2026-06-03,03:00:29,couch,62.5%,1
2026-06-03,03:00:32,cell phone,84.9%,1
2026-06-03,03:00:32,person,84.0%,1
2026-06-03,03:00:32,tv,63.2%,1
2026-06-03,03:00:32,couch,61.1%,1
2026-06-03,03:00:36,cell phone,84.0%,1
2026-06-03,03:00:36,tv,75.6%,1
2026-06-03,03:00:36,person,71.5%,1
2026-06-03,03:00:36,couch,71.2%,1
2026-06-03,03:00:36,laptop,60.1%,1
2026-06-03,03:00:39,cell phone,95.8%,1
2026-06-03,03:00:39,person,69.7%,2
2026-06-03,03:00:39,person,69.4%,2
2026-06-03,03:00:42,cell phone,94.2%,1
2026-06-03,03:00:42,couch,69.2%,1
2026-06-03,03:00:42,person,68.2%,1
2026-06-03,03:00:45,cell phone,94.0%,1
2026-06-03,03:00:45,person,66.4%,1
2026-06-03,03:00:45,couch,64.2%,1
2026-06-03,03:00:48,cell phone,83.2%,1
2026-06-03,03:00:48,person,64.7%,1
2026-06-03,03:00:48,couch,61.5%,1
2026-06-03,03:00:51,person,85.3%,1
2026-06-03,03:00:51,cell phone,66.1%,1
2026-06-03,03:00:55,person,94.0%,1
2026-06-03,03:00:58,person,86.4%,1
2026-06-03,03:00:58,tv,72.9%,1
2026-06-03,03:00:58,couch,60.3%,1
2026-06-03,03:03:10,person,91.7%,1
2026-06-03,03:03:16,cell phone,94.9%,1
2026-06-03,03:03:16,person,90.0%,1
2026-06-03,03:03:23,person,88.4%,1
2026-06-03,03:03:23,cell phone,86.6%,1
2026-06-03,03:03:29,person,91.4%,1
2026-06-03,03:03:36,person,93.9%,1
2026-06-03,03:03:42,person,92.1%,1
2026-06-03,03:03:49,person,92.2%,1
